age;pAD;pID;pAI;pAA
80;0.0313087874273656;0.229026086379995;0.0254147939549998;0.943276418617635
81;0.0347623037317666;0.237135642759773;0.0283027615785079;0.936934934689726
82;0.0377325549166625;0.246569096453296;0.0313008704863735;0.930966574596964
83;0.0415709360291018;0.255103424222878;0.0350322493312845;0.923396814639614
84;0.0466891630019649;0.263805059072913;0.0392249475621001;0.914085889435935
85;0.0523809285174003;0.275827261187502;0.0435063497564212;0.904112721726179
86;0.0595353395950259;0.287154077419303;0.0477809616106315;0.892683698794343
87;0.0667672618557459;0.296736437668921;0.0520193008104549;0.881213437333799
88;0.0742284842880654;0.307394243456317;0.0567867940499367;0.868984721661998
89;0.08102260498543;0.318807087201621;0.0617441024832344;0.857233292531336
90;0.0879638443512971;0.330335659703562;0.0647086526386771;0.847327503010026
91;0.0956534410840304;0.34429171728002;0.0667471331812722;0.837599425734697
92;0.104629865442421;0.360343939150447;0.0679974373329284;0.827372697224651
93;0.114342159249409;0.376714600886086;0.0692694237579942;0.816388416992597
94;0.124830307842353;0.39337161823954;0.0705634029519849;0.804606289205662
95;0.136132619794602;0.410280336624487;0.0718796873808002;0.791987692824598
96;0.148284870965249;0.427403785267262;0.0732185913907422;0.778496537644009
97;0.16131934887796;0.44470297533411;0.0745804311136826;0.764100220008357
98;0.175263808419464;0.46213723752253;0.0759655243672633;0.748770667213273
99;0.190140356683496;0.479664593311152;0.0773741905500132;0.732485452766491
100;0.205964292416731;0.49724215292386;0.0788067505312643;0.715228957052005
101;0.222742933595137;0.514826532138116;0.0802635265357542;0.696993539869109
102;0.240474474656817;0.532374279403284;0.0817448420228012;0.677780683320382
103;0.259146922168122;0.549842304367436;0.0832510215599426;0.657602056271935
104;0.278737163401518;0.567188298860823;0.0847823906909263;0.636480445907556
105;0.299210225581725;0.584371141653351;0.0863392757979522;0.614450498620323
106;0.320518783551316;0.601351278877663;0.087922003958059;0.591559212490625
107;0.342602969587468;0.618091072857778;0.089530902793558;0.567866127618974
108;0.365390530594804;0.634555113161069;0.0911663003164189;0.543443169088777
109;0.388797364816074;0.650710484943252;0.0928285247665155;0.51837411041741
110;0.412728452936279;0.666526991020167;0.0945179044436453;0.492753642620076
111;0.437079177930066;0.681977325511973;0.0962347675332406;0.466686054536693
112;0.461737005643692;0.69703719830248;0.0979794419256961;0.440283552430612
113;0.486583475732349;0.711685410881454;0.099752255029241;0.41366426923841
114;0.511496432215896;0.725903885342153;0.101553533576292;0.386950034207812
115;0.536352406554738;0.739677649351817;0.103383603423233;0.360263990022029
116;0.561029055458654;0.752994780772872;0.105242789343564;0.333728155197782
117;0.585407551755433;0.765846316272406;0.107131414814384;0.307461033430183
118;0.609374829980436;0.778226128713706;0.109049801796177;0.281575368223387
119;0.632825598544515;0.790130778382749;0.110998270505863;0.256176130949622
120;0.655664046315679;0.801559343179304;0.112977139183108;0.231358814501213
121;1;1;0;0
